名稱,城市,類型,分齡,lat,lon,介紹,圖片網址,Unnamed: 8,時間戳記,城市(台北市、新北市...).1,詳細地址 ,類型(博物館、公園...).1,景點介紹.1,城市.1,類型.1,介紹.1
大湖採草莓,苗栗縣,農場,全齡,24.4258,120.8679,季節限定體驗，適合全家同樂。,,,,,,,,,,
貓裏喵親子公園,苗栗縣,戶外公園,全齡,24.5612,120.8245,章魚造型大滑梯，還有扇貝造型滑梯與大沙坑。,,,,,,,,,,
獅山親子公園,苗栗縣,戶外公園,全齡,24.6934,120.9142,火炎山地景造型滑梯，色彩繽紛且設施多樣。,,,,,,,,,,
金門森林公園,金門縣,戶外公園,全齡,24.4452,118.4112,結合自然生態與大型原木遊具，適合冒險。,,,,,,,,,,
妮娜巧克力夢想城堡,南投縣,觀光工廠,全齡,23.9431,120.9205,歐洲城堡風，試吃與DIY體驗。,,,,,,,,,,
溪頭妖怪村,南投縣,文化景點,全齡,23.6738,120.7961,日式妖怪風格，森林環抱環境清爽。,,,,,,,,,,
清境農場,南投縣,農場,全齡,24.0586,121.163,羊咩咩脫衣秀與無敵山景。,,,,,,,,,,
海生館(海洋生物博物館),屏東縣,水族館,全齡,22.0461,120.6983,全台規模最大，夜宿體驗推。,,,,,,,,,,
屏東縣民公園,屏東縣,戶外公園,全齡,22.6654,120.4892,廢棄糖廠改建，工業風水岸與多樣化遊戲場。,,,,,,,,,,
和平公園共融遊戲場,屏東縣,戶外公園,全齡,22.6785,120.5012,南台灣最大噴霧沙坑，設施種類全台領先。,,,,,,,,,,
萬丹公園,屏東縣,戶外公園,全齡,22.5896,120.4854,牛奶盒造型滑梯與玩水設施，充滿在地特色。,,,,,,,,,,
Xpark水族館,桃園市,水族館,全齡,24.9867,121.2167,都會型水族館，光影與水母區非常知名。,,,,,,,,,,
雄獅文具想像力製造所,桃園市,觀光工廠,全齡,24.8436,121.1965,充滿色彩的互動空間，適合喜歡畫畫的小朋友。,,,,,,,,,,
桃園軌道願景館,桃園市,博物館,幼童,24.9902,121.3146,火車頭展示與室內小火車體驗。,,,,,,,,,,
奧爾森林學堂,桃園市,戶外公園,幼童,24.9961,121.3283,位於虎頭山，有可愛樹屋與多樣溜滑梯。,,,,,,,,,,
大溪老街,桃園市,文化景點,全齡,24.8837,121.2869,品嚐豆干與傳統陀螺童玩。,,,,,,,,,,
陽明運動公園,桃園市,戶外公園,全齡,24.9841,121.3175,超長磨石子溜滑梯與大草皮，適合野餐放風。,,,,,,,,,,
風禾公園,桃園市,戶外公園,全齡,25.0002,121.2947,50公尺超長滾輪溜滑梯，是桃園最熱門的放電亮點。,,,,,,,,,,
大溪埔頂公園,桃園市,戶外公園,全齡,24.9083,121.2842,橫跨高速公路的綠地，有高空溜索與森林遊戲場。,,,,,,,,,,
淨園農場,高雄市,農場,全齡,22.5833,120.3444,近距離看飛機起降與草泥馬。,,,,,,,,,,
壽山動物園,高雄市,動物園,全齡,22.6327,120.2789,天空步道可俯瞰動物，夏季有戲水區。,,,,,,,,,,
科工館(國立科學工藝博物館),高雄市,博物館,全齡,22.6411,120.3233,內容超豐富，體驗課程多。,,,,,,,,,,
衛武營都會公園,高雄市,戶外公園,全齡,22.6185,120.3444,白細沙坑與大型溜滑梯，旁邊可逛藝術中心。,,,,,,,,,,
崗山之眼下公園,高雄市,戶外公園,大童,22.8124,120.3345,特色山坡遊具與極佳視野。,,,,,,,,,,
馬祖清水村特色公園,連江縣,戶外公園,幼童,26.1512,119.9312,依海而建的公園，有海螺造型設施。,,,,,,,,,,
基隆潮境公園,基隆市,戶外公園,全齡,25.1435,121.8031,巨型飛天掃帚造景，看海野餐勝地。,,,,,,,,,,
海科館(海洋科技博物館),基隆市,博物館,大童,25.1422,121.7989,深入了解海洋科學，兒童館設施很豐富。,,,,,,,,,,
和平島地質公園,基隆市,戶外景點,全齡,25.161,121.7645,天然海水泳池，觀察潮間帶生態。,,,,,,,,,,
劍湖山世界,雲林縣,主題樂園,全齡,23.6191,120.5755,經典大型樂園，摩天輪地標。,,,,,,,,,,
興隆毛巾觀光工廠,雲林縣,觀光工廠,全齡,23.7337,120.4578,毛巾做成的蛋糕跟小動物。,,,,,,,,,,
斗六藝術水岸園區,雲林縣,戶外公園,幼童,23.6985,120.5312,色彩繽紛的攀爬坡與磨石子滑梯，環境乾淨。,,,,,,,,,,
野柳海洋世界,新北市,水族館,全齡,25.2065,121.6882,看海豚表演與海洋生物近距離接觸。,,,,,,,,,,
鶯歌陶瓷博物館,新北市,博物館,大童,24.9498,121.3514,體驗捏陶DIY，夏季有戶外玩水廣場。,,,,,,,,,,
卡滋爆米花觀光工廠,新北市,觀光工廠,全齡,25.1585,121.4121,美式小鎮風，導覽爆米花知識與DIY。,,,,,,,,,,
十三行博物館,新北市,博物館,全齡,25.1561,121.4051,考古文化體驗，建築本身非常有特色。,,,,,,,,,,
淡水觀海長堤公園,新北市,戶外公園,幼童,25.1764,121.4328,看夕陽吹海風，還有共融式遊具。,,,,,,,,,,
林口足夢運動公園,新北市,戶外公園,大童,25.0784,121.3852,以足球為主題，有長斜坡滑梯。,,,,,,,,,,
八里左岸公園,新北市,戶外公園,全齡,25.1612,121.4395,租單車漫遊，還有大沙坑可玩。,,,,,,,,,,
斬龍山遺址文化公園,新北市,戶外公園,全齡,24.9815,121.4428,考古主題公園，有磨石子滑梯、沙坑及噴水設施。,,,,,,,,,,
八里左岸公園(航海遊戲場),新北市,戶外公園,全齡,25.1612,121.4395,海盜船造型遊具，旁邊可騎單車欣賞淡水河景。,,,,,,,,,,
新竹市立動物園,新竹市,動物園,全齡,24.8016,120.9786,全台最老動物園轉型，無籠互動環境。,,,,,,,,,,
新竹綠圖書館平臺公園,新竹市,戶外公園,全齡,24.8016,120.9712,結合圖書館與景觀公園，遊具設計極具質感。,,,,,,,,,,
六福村主題遊樂園,新竹縣,主題樂園,全齡,24.8258,121.1824,結合野生動物園與遊樂器材。,,,,,,,,,,
綠世界生態農場,新竹縣,農場,全齡,24.6997,121.0664,近距離看草泥馬散步，生態步道好走。,,,,,,,,,,
小叮噹科學主題樂園,新竹縣,主題樂園,大童,24.8687,120.9965,科學物理設施，冬天有室內滑雪場。,,,,,,,,,,
竹北繩索公園,新竹縣,戶外公園,大童,24.8215,121.0189,擁有兩層樓高的金字塔型攀爬網，適合練體能。,,,,,,,,,,
檜意森活村,嘉義市,文化景點,全齡,23.4851,120.4549,全台最大日式建築群，好逛好拍。,,,,,,,,,,
KANO園區星光大滑梯,嘉義市,戶外公園,全齡,23.4795,120.4682,嘉義首座滑草場與4公尺高的大型滑梯。,,,,,,,,,,
嘉義文化公園(青蛙主題),嘉義市,戶外公園,幼童,23.4754,120.4503,以樹蛙為主角的共融遊具，交通便利。,,,,,,,,,,
嘉義板陶窯,嘉義縣,文化園區,全齡,23.5658,120.3232,交趾陶工藝與超Q貓咪造景。,,,,,,,,,,
竹崎親水公園,嘉義縣,戶外公園,全齡,23.5224,120.5512,天空走廊與花仙子步道，夏天有親水區。,,,,,,,,,,
台灣優格餅乾學院,彰化縣,觀光工廠,全齡,24.1378,120.4439,魔法學院風格，DIY餅乾超吸睛。,,,,,,,,,,
緞帶王觀光工廠,彰化縣,觀光工廠,全齡,24.0673,120.3957,免費參觀，了解繽紛緞帶的製作流程。,,,,,,,,,,
溪湖糖廠,彰化縣,文化景點,全齡,23.9537,120.4795,搭乘五分車與享用古早味冰棒。,,,,,,,,,,
溪湖中央公園,彰化縣,戶外公園,全齡,23.9515,120.4782,巨型葡萄造型遊具與超大草皮，近溪湖糖廠。,,,,,,,,,,
八卦山風景區親子區,彰化縣,戶外公園,全齡,24.0789,120.5489,全台最長水管溜滑梯，依山而建非常壯觀。,,,,,,,,,,
澎湖觀音亭親子區,澎湖縣,戶外公園,全齡,23.5712,119.5612,看花火節的最佳地點，擁有濱海遊戲場。,,,,,,,,,,
宏亞食品巧克力觀光工廠,桃園市,1,全齡,24.943325,121.297187,巧克力共和國是一座以巧克力為主題的觀光工廠，建築設計、館內主題設計皆以巧克力為主題，這裡也提供豐富的巧克力相關知識，亦可以DIY創作巧克力，為一寓教於樂、適合親子休閒娛樂的絕佳去處。...,,,,,,,,,,
臺灣菸酒(股)公司林口觀光酒廠,桃園市,1,全齡,25.056168,121.375231,林口酒廠為北部地區產能最大、設備最現代化的清酒、紅麴葡萄酒生產工廠。廠內有產品推廣中心，開放參觀製酒過程與歷史，與桃園其他景點連結地方文化特色主題，帶動觀光提昇旅遊的豐富性。...,,,,,,,,,,
邱良功古厝,金門縣,3,全齡,24.43263,118.31778,這棟建築乃為邱良功祖厝，位於金城鎮浯江街中段，屋中尚存有方形銅鏡一面，另有雕龍聖旨石二塊，高六十一公分、寬八十五公分，所刻聖旨二字每字十二公分見方，據傳係良功顯貴封爵，皇帝聞其家屋簡陋，賜建爵府，故贈...,,,,,,,,,,
陳詩吟洋樓,金門縣,3,全齡,24.43153,118.31773,"陳詩吟洋樓為清朝末年(1903)金門高坑人陳詩吟前往新加坡、印尼經商致富，於1932年間，斥資30,000銀元建屋。於2006年被列為縣定古蹟。整體建築為出龜洋樓，本體牆身材料為磚牆、平砌石牆；屋身構...",,,,,,,,,,
朱子祠,金門縣,3,全齡,24.43454,118.31728,金門朱子祠，立於清康熙二十六年（1687年），設於浯江書院內。乾隆三十五年（1770年），通判程煜以書院狹隘，倡議興建堂廡，但因離任而未成。後由仕紳黃汝試買下，改作書院，並奉祀朱子、魁星、文昌帝君、福...,,,,,,,,,,
黃偉墓,金門縣,3,全齡,24.47626,118.40916,黃偉，字孟偉，號逸叟，別號逸所，汶水頭（今後水頭）人，生於明弘治元年（1488年），曾任泉州府吏，正德九年（1514年）進士，初授南京刑部主事，治獄以清、慎、明、恕著稱，後升至南雄知府，省徭役、明禮教...,,,,,,,,,,
黃宣顯六路大厝,金門縣,3,全齡,24.48706,118.41471,黃宣顯生於乾隆中葉，父親官拜翰外郎，後代子孫經商南洋，亦卓然有成。黃宅屬於五開間加掛左右雙護龍閩式建築，號稱六路大宅。前後落一條龍燕脊與硬山馬背協調銜接，立面格扇飾以精巧木雕，水車堵上飾有福祿花鳥等彩...,,,,,,,,,,
莒光樓,金門縣,3,全齡,24.42497,118.319,面臨金城美景，背擁豐蓮山脈，初訪金門，必定要登上莒光樓遠眺金門風光！莒光樓做為金門的精神象徵，以中國傳統建築的作法，將傳統城樓放在現代建築的基座之上，締造一項獨特建築美感〪這座建築建於西元1952年，...,,,,,,,,,,
奎閣(魁星樓),金門縣,3,全齡,24.43133,118.3178,奎閣，金門人稱『魁星樓』，又名奎樓或八卦樓，祭拜魁星，魁星是中國五文昌之一，由於金門以前不屬縣，不可以建孔廟，為了讓金門由子弟參加科舉考試前，有一個祈求考運的地方，後浦鄉賢、曾得過「貢生」功名的林斐章...,,,,,,,,,,
瓊林蔡氏家廟,金門縣,3,全齡,24.45435,118.37397,創建於明嘉靖8年(1529年)，其建築內外的華麗藻飾堪稱金門宗祠之冠，屋脊、山牆、水車堵上均有精緻剪黏及泥塑可賞，通樑下的雀替雕有蔡氏祖訓忠、孝、廉、節四字，正殿高懸眾多牌匾，顯示著世族顯赫；屋後外牆...,,,,,,,,,,
清金門鎮總兵署,金門縣,3,全齡,24.4323,118.31841,清金門鎮總兵署所在地原為「叢青軒」，相傳是明萬曆辛丑年(西元1601)進士許獬讀書的地方，康熙年間，總兵陳龍考量舊金門城經歷明末多次兵禍，而后浦人丁興旺，於是將總兵署遷建於此，多次改建後成為現在規模，...,,,,,,,,,,
吳秀才厝,金門縣,3,全齡,24.42228,118.22958,位於上岐村上庫聚落的吳秀才厝，為烈嶼島上建築面積最大的古厝，建於清道光20年，由在上庫經營航運、鹽場致富的吳景山所建，形制為二進左右雙護龍的三落大合院。自吳家第五代世孫「吳煜善」於清光緒末年考中秀才後...,,,,,,,,,,
慈德宮,金門縣,3,全齡,24.48602,118.41251,慈德宮為奉祀「品德完人」黃偉的寺廟，慈德宮的特殊技藝表現在交趾陶、剪黏和石雕三個部分。交趾陶包括龍虎牆、鏡面堵、對看堵計有六幅，幅幅栩栩如生。剪黏包括廟頂的脊肚和脊頂的龍飾，都以剪黏作裝飾。石雕包括所...,,,,,,,,,,
邱良功母節孝坊,金門縣,3,全齡,24.43139,118.31852,邱良功的母親許氏，是清朝振威將軍邱志仁之妻，在邱良功滿月不久，父親邱志仁就與世長辭，當時年紀尚輕的許氏，辛苦地把剛滿月的邱良功撫養長大。邱良功成年後投身軍旅，從基層軍人累昇至將軍，嘉慶十四年邱良功升任...,,,,,,,,,,
將軍第,金門縣,3,全齡,24.43307,118.3181,將軍第是清朝末年被誥授為武顯將軍的盧成金之府第。盧成金字維麗，號芬亭，生於道光二年，卒於光緒二十年。幼年家貧，稍長乃投身軍旅，隨船搜補海盜有功，不久即拔額外外委。咸豐同治年間，成金先是參與平定竄佔廈門...,,,,,,,,,,
虛江嘯臥碣群,金門縣,3,全齡,24.39844,118.30561,虛江嘯臥碣群位於金門古城南側南磐山麓，文臺寶塔南側，是明清各朝文人武將在巨石上題刻詩文所形成的石刻群。最早可追溯至明嘉靖十四年（1547年），時任金門千戶的俞大猷在此題下「虛江嘯臥」四字，虛江即其別號...,,,,,,,,,,
陳禎恩榮坊,金門縣,3,全齡,24.48111,118.43026,位在金門陽翟會山寺右前方，是為了崇揚父(陳禎)以子(陳健)貴，皇室誥贈而興建。陳禎恩榮坊為縣定古蹟，屬花崗石建材的牌坊，西元1988年11月公告為三級古蹟。陳禎恩榮坊為四柱三間三樓沖天式石坊，主要石材...,,,,,,,,,,
海印寺,金門縣,3,全齡,24.46264,118.41855,宋朝時期建造的海印寺，已有800多年的歷史，因為處於太武山頂坳處，古稱作太武巖寺。太武山的山形從遠處觀看，像極仰臥的隱士，民間形容太武山有如「仙人偃地」，賦有靈氣之地，而建於其上的海印寺更是香火鼎盛，...,,,,,,,,,,
邱良功墓園,金門縣,3,全齡,24.44989,118.38593,邱良功墓園為前清誥封三等男爵邱良功之墓塚，座落於今日金門縣金湖鎮小徑村，經內政部公告指定為臺閩地區第三級古蹟。...,,,,,,,,,,
豐蓮山牧馬侯祠,金門縣,3,全齡,24.42073,118.32239,為供奉”開浯恩主”陳淵的三落古制廟宇，現貌為清道光年間重建，列為縣定古蹟。相傳陳淵經常顯靈退倭，保護鄉人，朝廷因此下令建造廣達七進的廟宇，賜廟額”孚濟”，追封為”福佑聖侯”，此即牧馬侯祠的由來。廟內現...,,,,,,,,,,
文臺寶塔,金門縣,3,全齡,24.39879,118.306,文臺寶塔建於明朝洪武20年（1387），是明太祖命「江夏侯」周德興在金門建的三座石塔之一，也是金門唯一沒有毀於戰火、未受砲彈損傷的明代石塔。高聳的文臺寶塔，過去也作為航海的指標，塔頂有鐫字及浮刻，面向...,,,,,,,,,,
漢影雲根碣,金門縣,3,全齡,24.39382,118.31264,位於古崗湖南側的獻台山上，為明魯王手書刻石遺跡之一，監國魯王為了反清復明，曾駐留金門島上逾10年，這方刻於明永曆6~8年（1652~1654）的勒石正表現他的慨然之氣，已列為縣定古蹟。今日所見漢影雲根...,,,,,,,,,,
瓊林一門三節坊,金門縣,3,全齡,24.45392,118.3704,瓊林的一門三節坊，位在金湖鎮瓊林村外西郊的古官道上，是金門僅存的三座清代牌坊中，故事最淒絕的。這座建於道光11年（1831）石造牌坊，看似風光的榮耀象徵，背後卻是一門3位寡婦的辛酸故事。現已被列為縣定...,,,,,,,,,,
石門關,金門縣,3,全齡,24.4628,118.41783,前往海印寺必先穿過一拱形石門，如出入的關口般，而稱之石門關，為太武山十二奇景之一。石門關以厚實工整的花崗石砌造，上覆反宇屋頂，四端翼角微翹，頗有輕盈之美；橫額上有明朝忠臣盧若騰手書的”海山第一”四字，...,,,,,,,,,,
睿友學校,金門縣,3,全齡,24.48564,118.44112,睿友學校建於1934年，為赴新加坡發展的陳睿友先生發跡後，委託同宗陳德幸先生在碧山故里興建睿友學校，校園佔地20公畝，招募周邊聚落子弟免費就學，造福鄉梓。學校建物正面仿西洋巴洛克建築形式，高大比例的山...,,,,,,,,,,
楊華故居,金門縣,3,全齡,24.45692,118.30613,楊華乃乾嘉年間功勣彪炳的武將，曾從征林爽文，掃蕩海寇。其古厝屬三落大厝加掛左護龍的傳統閩式建築，門廳飾以三川脊，前後廳配置一條龍燕脊，細部裝飾極為精巧，門堵上團龍木雕與磚雕皆有可觀，樑柱拱斗間木作雖已...,,,,,,,,,,
金門縣林務所,金門縣,1,全齡,24.46285,118.44444,位於金門金沙鎮的林務所，是金門地區充滿綠意的景點，相傳早期的金門是座草木繁盛之地，但因明朝鄭成功攻克金門時，為了建基礎建設，大肆砍伐島上的樹木，也因此使金門變成童山濯濯的不毛之地。而後，西元1951年...,,,,,,,,,,
貴山海灘,金門縣,2,全齡,24.42701,118.22374,貴山原名龜山，位於烈嶼陵水湖西側，並突出於南端海岸，L19據點至今仍默默的守候在貴山上。其沿海一帶，有著一片漂亮的海灘，並有一沙洲延伸出海，並與往陸地回灣的沙嘴，形成了一個沙洲潟湖，潮間帶上有豐富且多...,,,,,,,,,,
溪邊海水浴場,金門縣,12,全齡,24.44261,118.4685,溪邊海水浴場位於金湖鎮溪邊村的東側，彎月形的白色沙灘， 環抱著一望無際的藍色大海，沙灘上的沙不受污染，沙質綿密、乾淨無暇且細緻，踏上去腳底足感超級棒！沙灘上有許多整齊排列的小沙球，這些是螃蟹製造出來的...,,,,,,,,,,
上林海灘,金門縣,2,全齡,24.42861,118.22625,位於烈嶼鄉的上林海灘，是一處結合自然生態與人文景觀的海岸秘境。海灘就座落在上林李將軍廟前方，視野遼闊，能眺望對岸的廈門，是欣賞海景與夕陽的絕佳地點。這裡擁有豐富的潮間帶生態，大片蚵田在退潮時浮現眼前，...,,,,,,,,,,
貓公石濱海休憩區,金門縣,2,全齡,24.45264,118.2486,貓公石濱海休憩區位於小金門島的正北方，因為特有的紅色石頭「貓公石」而得名，這裡是台灣少數產有貓公石的地區。初到貓公石海灘，第一眼先看見環狀排列的反登陸樁軌條砦，接著往右邊海岸一瞧，成群的貓公石錯落排列...,,,,,,,,,,
金門城,金門縣,3,全齡,24.40335,118.30805,金門的歷史可追溯自晉元帝建武元年（西元317年）。明朝，為了抵禦海盜的侵擾及保護當時住在此地的居民所建造的「千戶所城」。在明鄭抗清時期，金門城是主要重鎮，清康熙19年（西元1680年）總兵陳龍將總兵署...,,,,,,,,,,
茅山塔,金門縣,3,全齡,24.40861,118.28834,金門有三古塔，其中最為醒目的當為茅山塔，茅山塔位於金門島的西南隅，鄰近金門港旅運中心，登上茅山塔的觀景平台，不僅可以看到金門港旅運中心全貌，也能看到遠處金城市區、后豐港及海上孤島建功嶼，黃昏時還能遠望...,,,,,,,,,,
國姓井,金門縣,3,全齡,24.43845,118.23514,國姓井位於下田村，三百多年前，鄭成功率兵登陸小金門，來到下田一帶，兵困馬疲，而且找不到飲水，國姓爺鄭成功乃揮刀指地，命士兵循劍指處鑿井，不久果真湧出甘冽的清泉，經年不竭，鄉民尊稱為「國姓井」。目前井裡...,,,,,,,,,,
北風爺、風雞,金門縣,3,全齡,24.43676,118.23978,在大金門，人們熟悉的是風獅爺；而在小金門(烈嶼)，則有兩種極具地方色彩的鎮風避邪象徵──北風爺與風雞。這兩者雖皆為對抗自然災害的民間信仰，但起源、形象與功能各自獨立，共同構成了小金門獨特的信仰景觀。北...,,,,,,,,,,
三眼井,金門縣,3,全齡,24.47884,118.30759,位於古寧頭南山聚落中的三眼井，是當地居民早年生活中不可或缺的公共空間。這口古井巧妙設計成品字形的三個汲水孔，可供三人同時取水，是金門少見的傳統井泉之一。三眼井不僅解決了人多取水難的問題，更成為村民日常...,,,,,,,,,,
吳稚暉紀念公園,金門縣,1,全齡,24.4151,118.28888,坐落於金門港旅運中心旁，可清楚俯瞰小三通船舶進出，公園裡綠葉成蔭，有蔣公親題的紀念碑文與稚暉先生銅像。吳稚暉先生，字敬恆，江蘇武進人，為儒學宗師，深受國人尊敬，曾為經國先生的業師。民國1953年10月...,,,,,,,,,,
金水國小,金門縣,1,全齡,24.40934,118.2979,水頭聚落的黃氏家族相當重視教育，隨著聚落裡學生增多，原本作為講堂的家廟場地不敷使用，黃氏家族於是提議興建學校，由水頭鄉僑共同出資，於西元1932年興建金水國小。金水國小仿照傳統書院「回」字型的平面格局...,,,,,,,,,,
西園鹽場,金門縣,1,全齡,24.50705,118.40531,位於金沙鎮的西園鹽場帶領旅客了解將近700多年歷史的金門製鹽產業。場內圖文並茂展示金門鹽業的特殊之處，及鹽在金門居民的日常生活中的作用。此外，園區內還有兩塊重要的碑文，分別是「清浯洲鹽場大使韓琮功德碑...,,,,,,,,,,
金門高中中正堂,金門縣,3,全齡,24.43507,118.31407,金門中學中正堂座落金城西門與下埔下之間的高地，創建於民國四十年十月，由當時陸軍工兵二十團第三營營長張才良施工、連長劉雲峰、陳懷立、廖光燕設計、王應嵐及徐甘泉繪圖暨全體官兵授命興建，鳩工建築時僅三月。時...,,,,,,,,,,
東林東井,金門縣,3,全齡,24.42752,118.24945,烈嶼鄉東林聚落的「東林東井」， 開鑿於宋寧宗嘉泰4 年(1204)，為宋林彥智所興建，至今已有800多年，為金門最大之古井，構法特殊。至2004年，因鄉村整建，於古井周遭鋪設階梯與花崗石地坪，並於古井...,,,,,,,,,,
小西門模範廁,金門縣,3,全齡,24.41313,118.32674,小西門模範廁於1917年，由吳朝枰出洋經商後返鄉出資興建。吳朝枰（1854-1936），字錦章，又名光枰（於印尼、新加坡常使用此名），小西門人。清同治13年（1874）赴印尼蘇門答臘，與友人於盛產玻璃...,,,,,,,,,,
南山林道,金門縣,2,全齡,24.47192,118.293,南山林道是金門著名的賞鳥熱點之一，沿線林蔭夾道、綠意盎然，走在步道間，仿佛踏入一幅動靜交織的自然畫卷。這裡不僅擁有寧靜的田園景致，春夏時節還可見連綿成片的高粱田，隨風搖曳。林道中鳥語不絕於耳，運氣好的...,,,,,,,,,,
復國墩觀景台,金門縣,2,全齡,24.4472,118.47335,復國墩聚落則位處金門島最東端，路經傳統古厝聚落後可抵達邊，可看到一些還保留著的軍事工事。這裡沿海為岩岸地形，花崗岩體隆起形成陡峭的斜坡，居高臨下的位置，特別適合設置崗哨。為了防禦敵軍登陸，岩坡上可見遍...,,,,,,,,,,
明遺老街,金門縣,3,全齡,24.40371,118.30883,明遺老街位於金門城北門外，已逾四百年的歷史，被稱為金門最古老的街道，矮小的街屋並排在兩側，街道的東西南北四處出口原本都設有隘門。明遺老街過去曾是金門城的繁鬧市集，在地人又稱這裡為「買菜街」，隨著金門從...,,,,,,,,,,
石兔,金門縣,3,全齡,24.46128,118.41211,太武山步道兩旁巨石嶙峋，在大自然的鬼斧神工下，常有狀似動物的岩塊出現，像是距離劉玉章銅像約150公尺處，步道兩旁出現”龜兔賽跑”的有趣畫面，先是左側一似烏龜的巨石，石頭上的”眼珠”是當年開路機鑽孔所遺...,,,,,,,,,,
